"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"IPI-120","iPix1","SEC-001 — Remove exposed VITE_GEMINI_API_KEY from Vercel","The root Vite deployment at [www.ipix.co](<http://www.ipix.co>) has `VITE_GEMINI_API_KEY` configured for Preview/Production. Because `VITE_*` variables are bundled into client JavaScript, this Gemini key must be treated as **public/compromised**.

### Required actions

1. Remove `VITE_GEMINI_API_KEY` from Vercel Preview and Production.
2. Rotate the Gemini API key in Google AI Studio / Google Cloud.
3. Keep only server-side `GEMINI_API_KEY`.
4. Confirm no frontend code depends on `VITE_GEMINI_API_KEY`.
5. Redeploy root app.
6. Verify built client JS no longer contains the Gemini key.
7. Document completion.

> Do not put the real key in Linear.

---

**Evidence (2026-06-22):** `vercel env ls --scope mdeai` on project `mdeai/lumina-studio` lists `VITE_GEMINI_API_KEY` in **Preview, Production** (created 8d ago). The project's Production alias is [**www.ipix.co**](<http://www.ipix.co>) (Ready). `VITE_`-prefixed vars are inlined into the client bundle at build time → the key is extractable from the live site. A non-`VITE_` `GEMINI_API_KEY` already exists for server/edge use, so removing the `VITE_` one should not break server-side Gemini calls (verify step 4).","Backlog",,"High","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"",,,,,"2026-06-22T16:29:53.772Z","2026-07-06T05:41:49.093Z",,,,,,"2026-07-13T05:41:49.091Z",,"IPIX-INIT-001 — Operator Platform (Q3 2026)","162c5b70-9828-45ea-8c7c-b8e02f160230","GROQ-M3 · Verify","MediumRisk","305bdc1a-694e-4542-ade5-9bd8c758645a",21768,"IPI-119","",
"IPI-282","iPix1","SHOOT-AI-004B · Shoot DNA scoring pipeline — edge + Vision","## SHOOT-AI-004B — Shoot DNA scoring pipeline (edge + Vision)

**Split from** [IPI-151](https://linear.app/amo100/issue/IPI-151) · **Estimate:** 3

**In plain terms:** When shoot assets upload, edge fn triggers Gemini Vision DNA scoring and writes scores to `shoot_assets` + `ai_agent_logs`.

---

### Scope

* Edge fn or DB trigger on asset upload complete
* Reuse `audit-asset-dna` patterns (edge ✅ shipped)
* Structured JSON via `_shared/gemini.ts`
* Results written to `shoot_assets.dna_score` + pillars JSONB

### Out of scope

* Gallery UI → [IPI-281](https://linear.app/amo100/issue/IPI-281)
* Batch overnight scoring → [IPI-170](https://linear.app/amo100/issue/IPI-170)

---

### Acceptance criteria

- [ ] Upload completes → scoring invoked
- [ ] DNA score + pillars persisted on `shoot_assets`
- [ ] `ai_agent_logs` row with model id, latency, structured result
- [ ] Failed scoring → asset flagged, not silent
- [ ] RLS: user can only score own brand's assets

### Verification checklist

- [ ] `infisical run -- npm run supabase:verify-edge`
- [ ] Integration: 5 uploads → 5 scored rows within 30s
- [ ] `infisical run -- npm run supabase:verify-rls`

**Blocked by (Linear):** [IPI-257](https://linear.app/amo100/issue/IPI-257) 074a+

**Parent:** [IPI-151](https://linear.app/amo100/issue/IPI-151) · **Sibling:** [IPI-281](https://linear.app/amo100/issue/IPI-281)","Backlog",3,"High","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"GEMINI, SHOOT, SUPA",,,,,"2026-06-30T12:10:42.806Z","2026-07-04T07:01:29.949Z",,,,,,"2026-07-07T12:10:44.126Z","IPI-151","IPIX-INIT-001 — Operator Platform (Q3 2026)","a07acbf5-d8d3-428b-8834-7bfb28147a76","GROQ-M2 · Edge ∥ Mastra","Breached","6010729e-9f11-4733-8e2a-7791e792c79c",5062,"IPI-257, IPI-172, IPI-170, IPI-281, IPI-151","",
"IPI-181","iPix1","GEMINI-018 · Function calling — Mercur + commit tools","## GEMINI-018 — Function calling — Mercur + commit tools

**In plain terms:** Harden function calling on product-linking and brand commit paths — declare-once schemas, edge executes, HITL on writes.

**Docs:** [Function calling](<https://ai.google.dev/gemini-api/docs/function-calling>)

**Blocked by:** [IPI-113](https://linear.app/amo100/issue/IPI-113) · [IPI-153](https://linear.app/amo100/issue/IPI-153)

**Related:** [IPI-10](https://linear.app/amo100/issue/IPI-10) AI-019 declare-once registry

### Acceptance criteria

- [ ] `search_mercur_products`, `link_asset_to_product` declarations
- [ ] `commitApprovedBrandDraft` with JWT + RLS
- [ ] Function response cycle completes with structured final JSON
- [ ] Mode AUTO; no client-side execution","Backlog",5,"High","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"GEMINI",,,,,"2026-06-25T07:59:42.433Z","2026-07-04T07:01:58.562Z",,,,,,"2026-07-02T07:59:43.455Z",,"IPIX-INIT-001 — Operator Platform (Q3 2026)","162c5b70-9828-45ea-8c7c-b8e02f160230","GROQ-M3 · Verify","Breached","fc970247-9699-4042-b489-d8795d4a7fc9",17958,"IPI-10, IPI-113","IPI-153",
"IPI-106","iPix1","AI-004 · AI Agent Logging Framework","## AI-004 — AI Agent Logging Framework

**In plain terms:** Every Gemini call lands in `ai_agent_logs` for cost/quality loops.

**Blocked by:** [PLT-003](<https://linear.app/amo100/issue/IPI2-16>) · [PLT-001](<https://linear.app/amo100/issue/IPI2-14>)

**Unblocks:** —

**MVP priority:** **P0 Must Have**

### User stories

* As an **engineer**, I want every Gemini call logged in a consistent schema so debugging and regression checks are easier.
* As an **operator**, I want approval decisions and tool runs captured so I can understand what the AI did before a result reached the UI.
* As a **product lead**, I want token, cost, and latency visibility so AI features can be prioritized using real usage and quality signals.
* As an **auditor**, I want failures and redactions logged safely so sensitive input is protected while incident review stays possible.

### Logging requirements

* Track prompt tokens, completion tokens, and total tokens for every supported model call.
* Track estimated or provider-reported cost per run.
* Track latency metrics including total duration and step timing where available.
* Log approval events tied to AI-assisted workflows.
* Log tool execution events including tool name, result status, and safe payload references.
* Log model or workflow errors with safe redaction rules.

### Skills (load in order)

| # | Skill | Path |
| -- | -- | -- |
| 1 | ipix-task-lifecycle | `.claude/skills/ipix-task-lifecycle/SKILL.md` or repo rule |
| 2 | supabase | `.claude/skills/supabase/SKILL.md` or repo rule |
| 3 | task-verifier | `.claude/skills/task-verifier/SKILL.md` or repo rule |

---

### Flow — AI-004

```mermaid
flowchart TD
    A[Start AI-004] --> B{Prerequisites met?}
    B -->|no| C[Blocked — see dependencies]
    B -->|yes| D[Implement + verify]
    D --> E[Linear Done + todo.md]
```

### Audit trail workflow

```mermaid
sequenceDiagram
  participant UI as App or workflow
  participant AI as Gemini call
  participant Tools as Tool execution
  participant Logs as ai_agent_logs
  participant Ops as Operator or reviewer

  UI->>AI: Request with safe context
  AI-->>Logs: model, tokens, cost, latency
  AI->>Tools: optional tool call
  Tools-->>Logs: tool name, status, duration
  Ops->>UI: approve, reject, or retry
  UI-->>Logs: approval outcome, actor, timestamp
  AI-->>Logs: error details with redaction when failures happen
```

---

### Completion steps

#### A. Implement

- [ ] **A1** Logging wrapper on all AI edges
- [ ] **A2** Fields: model, tokens, duration_ms, redaction rules
- [ ] **A3** SQL view: last 20 runs per brand

#### B. Verify + ship

- [ ] **B1** `npm run build` passes
- [ ] **B2** `npm run supabase:verify` (if Supabase touched)
- [ ] **B3** Linear **Done** · `todo.md` updated

**Spec score:** 84/100 — lifecycle-ready

---

### Gantt — IPI-37

```mermaid
gantt
    title IPI-37 · AI-004
    dateFormat YYYY-MM-DD
    axisFormat %b %d
    section Build
    Implement AI-004           :active, g1, 2026-06-14, 2d
    section Verify
    npm run build + probes      :crit, g2, after g1, 1d
    Done                        :milestone, gdone, after g2, 0d
```

*Source:* `docs/linear/issues/IPI-37-AI-004.md` *· push via* `node scripts/linear-update-issue.mjs IPI-37`","Backlog",,"High","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"AI, SUPA",,,,,"2026-06-14T06:41:12.353Z","2026-07-04T07:02:33.404Z",,,,,,,,"IPIX-INIT-001 — Operator Platform (Q3 2026)","a07acbf5-d8d3-428b-8834-7bfb28147a76","GROQ-M2 · Edge ∥ Mastra",,"c2c20afa-591a-499b-b2ab-156a7086a384",33876,"IPI-76, IPI2-14, IPI2-16, IPI2-128","",
"IPI-98","iPix1","WEB-015.7 · Service recommendation + FAQ grounding","**Purpose:** Ground answers + recommendations in the real 9 service pages (no hallucinated claims).

**Scope:** `getServiceInfo(slug)` read-only catalog (value props + FAQs sourced from `(marketing)/services/*`), `recommendService(slug)` frontend tool → service card + deep-link to `/services/<slug>`. Map intent → service + package.

**Acceptance:**

* Recommendations link to the correct existing service page; FAQ answers grounded (no invented pricing).
* Catalog stays in sync with the 9 pages (single source).

**Dependencies:** WEB-015.3, WEB-015.5. **Risks:** drift between catalog and pages. **Complexity:** M. **Files:** `app/src/mastra/tools/marketing/*`, service catalog module.","Backlog",,"Medium","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"AI",,,,,"2026-06-24T02:30:35.320Z","2026-07-04T07:02:19.504Z",,,,,,,"IPI-91","IPIX-INIT-001 — Operator Platform (Q3 2026)","a07acbf5-d8d3-428b-8834-7bfb28147a76","GROQ-M2 · Edge ∥ Mastra",,"a3f2f3b3-0e31-4d0c-8131-a8f6d7d9a62c",19727,"","",
"IPI-182","iPix1","GEMINI-019 · Priority inference tier — operator chat SLO","## GEMINI-019 — Priority inference tier — operator chat SLO

**In plain terms:** When operator CopilotKit chat p95 latency exceeds 3s, opt into `service_tier: priority` on **generateContent** calls — not Interactions API.

**Blocked by:** [IPI-47](https://linear.app/amo100/issue/IPI-47) partial · [IPI-107](https://linear.app/amo100/issue/IPI-107) registry CI

**Removed blocker:** ~~IPI-171 GEMINI-008 streaming~~ — streaming baseline shipped via CopilotKit v2; IPI-171 deferred/cancel cluster.

**Does NOT require:** Interactions API ([IPI-164](https://linear.app/amo100/issue/IPI-164))

**MVP priority:** P2 — enable only when SLO breached

### Model IDs

* Default: `resolveGeminiModel()` → **gemini-3.1-flash-lite**
* Config: `config: { service_tier: 'priority' }` on operator chat path only
* Edge functions: remain **standard** tier unless product approves cost uplift

### Acceptance criteria

- [ ] p95 latency metric on CopilotKit operator path
- [ ] `_shared/gemini.ts` + Mastra wrapper accept `serviceTier?: 'standard' | 'priority'`
- [ ] Feature flag `GEMINI_OPERATOR_PRIORITY_TIER` (Infisical) — default **off**
- [ ] Auto-enable priority only when rolling p95 > 3s for 15m window
- [ ] **Never** on batch DNA, flex eval, or edge brand-intelligence path","Backlog",2,"Medium","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"GEMINI",,,,,"2026-06-25T08:11:30.592Z","2026-07-04T07:01:58.268Z",,,,,,,,"IPIX-INIT-001 — Operator Platform (Q3 2026)","162c5b70-9828-45ea-8c7c-b8e02f160230","GROQ-M3 · Verify",,"d8d74f7c-92e9-4fcf-836f-c33620951d85",17946,"IPI-47, IPI-107, IPI-164","",
"IPI-93","iPix1","WEB-015.6 · Intent classification + follow-up questioning","**Purpose:** Understand intent and gather the minimum to qualify.

**Scope:** Gemini structured-output classifier → `{intent: 9 slugs|general|ready, confidence, missingFields}`. Slot-filling over `{brand_name, industry, service_interest, goal, budget_range, timeline, email}`; ask the highest-value missing slot, one at a time, stop at ≤5.

**Acceptance:**

* Fixture turns map to expected intent + missing slots (unit tested).
* Agent surfaces ""Start Intake"" once service_interest + goal + contact path are known; no over-interrogation.

**Dependencies:** WEB-015.3. **Risks:** mis-classification; loops. **Complexity:** M. **Files:** `app/src/mastra/agents/public-marketing-agent.ts` (intent/slot logic), fixtures.","Backlog",,"Medium","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"AI, GEMINI",,,,,"2026-06-24T02:30:30.922Z","2026-07-04T07:02:44.782Z",,,,,,,"IPI-91","IPIX-INIT-001 — Operator Platform (Q3 2026)","a07acbf5-d8d3-428b-8834-7bfb28147a76","GROQ-M2 · Edge ∥ Mastra",,"8414efd0-daae-4b75-8db7-8f798bc35871",5644,"","",
"IPI-174","iPix1","GEMINI-011 · Document processing — shoot PDF briefs","## GEMINI-011 — Document processing — shoot PDF briefs

**In plain terms:** Ingest shoot briefs/contracts via Gemini document processing (inline PDF or Files API).

**Docs:** [Document processing](<https://ai.google.dev/gemini-api/docs/document-processing>)

**Blocked by:** [IPI-148](https://linear.app/amo100/issue/IPI-148) SHOOT-AI-001

### Acceptance criteria

- [ ] Edge fn accepts PDF upload or storage URL
- [ ] Structured shot-list extraction schema
- [ ] Linked to SHOOT-AI-004 deliverables","Backlog",3,"Medium","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"GEMINI",,,,,"2026-06-25T07:59:36.037Z","2026-07-04T07:02:06.188Z",,,,,,,,"IPIX-INIT-001 — Operator Platform (Q3 2026)","162c5b70-9828-45ea-8c7c-b8e02f160230","GROQ-M3 · Verify",,"28335b9e-e175-4287-b859-2bec29899352",17958,"IPI-148","",
"IPI-116","iPix1","DEVX-001 · Operator app dev loop — `dev:clean` + local fixtures/seed (no live Gemini)","## DEVX-001 — Operator app dev loop hardening

From the 2026-06-22 efficiency review. Two recurring frictions slow `app/` iteration:

1. **Stale** `.next` **corruption.** Turbopack panics / `tsc` sees leftover `.next/dev/types` after a killed dev server or concurrent build, producing phantom ""Cannot find module 'next'"" / build failures that clean rebuilds don't have.
2. **Live-Gemini dependency for UI work.** The chat/agents need `GEMINI_API_KEY` to do anything, so UI iteration can't happen offline.

### Tasks

- [ ] Add `app/package.json` script `dev:clean` (`rm -rf .next && npm run dev`).
- [ ] Add **fixtures/seed** so the operator UI renders with mock agent responses when no `GEMINI_API_KEY` is set.
- [ ] Add a graceful ""agent unavailable"" UI state when agent init fails.
- [ ] Document the dev loop in `app/AGENTS.md`.

### Acceptance

- [ ] `npm run dev:clean` works from a polluted state.
- [ ] UI renders meaningfully with no `GEMINI_API_KEY`, no crash.
- [ ] Verification per TEST-001 (IPI2-129).

Source: efficiency review (item #4).","Backlog",,"Medium","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"",,,,,"2026-06-22T14:39:29.979Z","2026-07-04T07:02:21.329Z",,,,,,,,"IPIX-INIT-001 — Operator Platform (Q3 2026)","162c5b70-9828-45ea-8c7c-b8e02f160230","GROQ-M3 · Verify",,"661d0e93-6d03-4611-b887-a2d217a0fdaa",21878,"","",
"IPI-167","iPix1","GEMINI-004 · Structured output hardening (edge persistence)","## GEMINI-004 — Shared parser + EvidenceBlock schema extensions

**Scope narrowed 2026-06-30:** NOT a re-audit of shipped BI/DNA edge paths.

**In plain terms:** Harden structured output with a shared parser and EvidenceBlock-compatible schema fields — not re-validating already-shipped `brand-intelligence` or `audit-asset-dna`.

**In scope:**

* Shared `parseStructuredResponse()` in `_shared/gemini.ts`
* EvidenceBlock-compatible field extensions on structured schemas
* Required-field validation before DB write

**Out of scope:**

* Re-auditing `brand-intelligence` (shipped)
* Re-auditing `audit-asset-dna` (shipped with structured JSON)

**Blocked by:** [IPI-47](https://linear.app/amo100/issue/IPI-47) partial ship — full unblock when [IPI-107](https://linear.app/amo100/issue/IPI-107) CI lands

**Related:** [IPI-172](https://linear.app/amo100/issue/IPI-172) EvidenceBlock payload

### Acceptance criteria

- [ ] `parseStructuredResponse()` helper in `_shared/gemini.ts`
- [ ] EvidenceBlock field extensions documented (AI-EXPLAINABILITY.md)
- [ ] Required-field validation before DB write on new edge callers
- [ ] Two-pass BI pattern preserved (no urlContext + JSON same call)
- [ ] `npm run supabase:verify-brand-intelligence` green

### Verification checklist

- [ ] Unit test: `parseStructuredResponse` handles malformed JSON gracefully
- [ ] Schema extensions match EvidenceBlock props contract (IPI-172)
- [ ] `infisical run -- npm run supabase:verify-brand-intelligence` green","Backlog",3,"Medium","a91ff388-772a-4b0a-b252-0068d6a1297c","AI Platform — LLM Providers","ai@socialmediaville.ca",,"GEMINI",,,,,"2026-06-25T07:59:28.740Z","2026-07-04T07:02:11.688Z",,,,,,,,"IPIX-INIT-001 — Operator Platform (Q3 2026)","162c5b70-9828-45ea-8c7c-b8e02f160230","GROQ-M3 · Verify",,"2ba6e753-ce46-463d-b02a-c8bb1e187e9b",17958,"IPI-47, IPI-107","",
